cluster,node,pod,namespace,fn_name,if_name,md_name,rpd_name,start_value,end_value,delta
apc01k1dccc,ap71-85-92-202,vcmts-cd-0-0,default,fb1:0/0,Us1:0/0/3.0,Md1:0/0.0,rpd1:0,0.2,0.2,0.0
apc01k1dccc,ap71-85-92-202,vcmts-cd-0-0,default,fb1:0/1,Oa1:0/1/0,Md1:0/0.0,rpd1:0,0.0,0.0,0
apc01k1dccc,ap71-85-92-202,vcmts-cd-0-0,default,fb1:0/1,Oa1:0/1/1,Md1:0/0.0,rpd1:0,0.0,0.0,0
apc01k1dccc,ap71-85-92-202,vcmts-cd-0-0,default,fb1:0/1,Us1:0/1/0.0,Md1:0/0.0,rpd1:0,0.2,0.2,0.0
apc01k1dccc,ap71-85-92-202,vcmts-cd-0-0,default,fb1:0/1,Us1:0/1/1.0,Md1:0/0.0,rpd1:0,0.2,0.2,0.0
apc01k1dccc,ap71-85-92-202,vcmts-cd-0-0,default,fb1:0/1,Us1:0/1/2.0,Md1:0/0.0,rpd1:0,0.2,0.2,0.0
apc01k1dccc,ap71-85-92-202,vcmts-cd-0-0,default,fb1:0/1,Us1:0/1/3.0,Md1:0/0.0,rpd1:0,0.2,0.2,0.0
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Ds1:0/1/0,Md1:0/1.0,rpd1:0,6.4569716501546,6.45464214396121,-0.0023295061933898964
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Ds1:0/1/1,Md1:0/1.0,rpd1:0,0.00259687500822935,0.00239893345470106,-0.00019794155352829013
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Ds1:0/1/10,Md1:0/1.0,rpd1:0,0.00239893345470106,0.00258948912936635,0.00019055567466529002
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Ds1:0/1/11,Md1:0/1.0,rpd1:0,0.00239893345470106,0.00258948912936635,0.00019055567466529002
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Ds1:0/1/12,Md1:0/1.0,rpd1:0,6.43254950310622,6.45619317852244,0.02364367541622059
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Ds1:0/1/13,Md1:0/1.0,rpd1:0,0.00259982935977454,0.00259982935977454,0.0
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Ds1:0/1/14,Md1:0/1.0,rpd1:0,0.00259982935977454,0.00239893345470106,-0.00020089590507348012
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Ds1:0/1/15,Md1:0/1.0,rpd1:0,0.00239893345470106,0.00239893345470106,0.0
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Ds1:0/1/16,Md1:0/1.0,rpd1:0,6.42441765047806,6.43669002679682,0.012272376318760436
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Ds1:0/1/17,Md1:0/1.0,rpd1:0,0.00239893345470106,0.00239893345470106,0.0
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Ds1:0/1/18,Md1:0/1.0,rpd1:0,0.00239893345470106,0.00239893345470106,0.0
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Ds1:0/1/19,Md1:0/1.0,rpd1:0,0.00239893345470106,0.00239893345470106,0.0
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Ds1:0/1/2,Md1:0/1.0,rpd1:0,0.00259687500822935,0.00239893345470106,-0.00019794155352829013
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Ds1:0/1/20,Md1:0/1.0,rpd1:0,6.4225445915984,6.42316795977444,0.0006233681760399179
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Ds1:0/1/21,Md1:0/1.0,rpd1:0,0.00239893345470106,0.00239893345470106,0.0
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Ds1:0/1/22,Md1:0/1.0,rpd1:0,0.00239893345470106,0.00239893345470106,0.0
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Ds1:0/1/23,Md1:0/1.0,rpd1:0,0.00258948912936635,0.00239893345470106,-0.00019055567466529002
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Ds1:0/1/24,Md1:0/1.0,rpd1:0,6.42240869142733,6.42341612530424,0.0010074338769099356
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Ds1:0/1/25,Md1:0/1.0,rpd1:0,0.00239893345470106,0.00239893345470106,0.0
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Ds1:0/1/26,Md1:0/1.0,rpd1:0,0.00239893345470106,0.00239893345470106,0.0
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Ds1:0/1/27,Md1:0/1.0,rpd1:0,0.00239893345470106,0.00239893345470106,0.0
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Ds1:0/1/28,Md1:0/1.0,rpd1:0,6.43444176527092,6.44277894533147,0.00833718006054962
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Ds1:0/1/29,Md1:0/1.0,rpd1:0,0.00239893345470106,0.00239893345470106,0.0
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Ds1:0/1/3,Md1:0/1.0,rpd1:0,0.00258948912936635,0.00259687500822935,7.385878863000114e-06
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Ds1:0/1/30,Md1:0/1.0,rpd1:0,0.00239893345470106,0.00239893345470106,0.0
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Ds1:0/1/31,Md1:0/1.0,rpd1:0,0.00239893345470106,0.00239893345470106,0.0
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Ds1:0/1/4,Md1:0/1.0,rpd1:0,6.43424973242048,6.43141798646441,-0.002831745956069831
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Ds1:0/1/5,Md1:0/1.0,rpd1:0,0.00259687500822935,0.00319069966881421,0.00059382466058486
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Ds1:0/1/6,Md1:0/1.0,rpd1:0,0.00258948912936635,0.00239893345470106,-0.00019055567466529002
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Ds1:0/1/7,Md1:0/1.0,rpd1:0,0.00239893345470106,0.00239893345470106,0.0
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Ds1:0/1/8,Md1:0/1.0,rpd1:0,6.4227927571282,6.42351214172946,0.0007193846012594207
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Ds1:0/1/9,Md1:0/1.0,rpd1:0,0.00279481656175764,0.00259982935977454,-0.00019498720198309972
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Oa1:0/2/0,Md1:0/1.0,rpd1:0,0.0,0.0,0
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Oa1:0/2/1,Md1:0/1.0,rpd1:0,0.0,0.0,0
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Of1:0/1/0,Md1:0/1.0,rpd1:0,0.00207104699063427,0.00219971293352375,0.00012866594288948006
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Of1:0/1/1,Md1:0/1.0,rpd1:0,0.00192898979621299,0.00182850544236804,-0.00010048435384494995
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Us1:0/2/0.0,Md1:0/1.0,rpd1:0,0.2,0.2,0.0
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Us1:0/2/1.0,Md1:0/1.0,rpd1:0,0.2,0.2,0.0
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Us1:0/2/2.0,Md1:0/1.0,rpd1:0,0.2,0.2,0.0
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/2,Us1:0/2/3.0,Md1:0/1.0,rpd1:0,0.2,0.2,0.0
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/3,Oa1:0/3/0,Md1:0/1.0,rpd1:0,0.1,0.1,0.0
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/3,Oa1:0/3/1,Md1:0/1.0,rpd1:0,1.2,1.2,0.0
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/3,Us1:0/3/0.0,Md1:0/1.0,rpd1:0,0.2,0.2,0.0
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/3,Us1:0/3/1.0,Md1:0/1.0,rpd1:0,0.2,0.2,0.0
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/3,Us1:0/3/2.0,Md1:0/1.0,rpd1:0,0.2,0.2,0.0
apc01k1dccc,ap71-85-92-204,vcmts-cd-0-1,default,fb1:0/3,Us1:0/3/3.0,Md1:0/1.0,rpd1:0,0.2,0.2,0.0
